day,total_suggestions_count,total_acceptances_count,total_lines_suggested,total_lines_accepted,total_active_users,total_chat_acceptances,total_chat_turns,total_active_chat_users,breakdown
2024-04-12,680,102,963,145,9,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":179,""acceptances_count"":31,""lines_suggested"":236,""lines_accepted"":36,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":3,""lines_suggested"":34,""lines_accepted"":6,""active_users"":3},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":277,""acceptances_count"":42,""lines_suggested"":418,""lines_accepted"":71,""active_users"":4},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":159,""acceptances_count"":20,""lines_suggested"":201,""lines_accepted"":26,""active_users"":3},{""language"":""markdown"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":1,""lines_suggested"":4,""lines_accepted"":1,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":1,""lines_suggested"":10,""lines_accepted"":1,""active_users"":2},{""language"":""shell"",""editor"":""jetbrains"",""suggestions_count"":5,""acceptances_count"":0,""lines_suggested"":5,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":35,""acceptances_count"":4,""lines_suggested"":47,""lines_accepted"":4,""active_users"":2}]"
2024-04-15,714,97,1166,120,10,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":162,""acceptances_count"":34,""lines_suggested"":294,""lines_accepted"":39,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":112,""acceptances_count"":18,""lines_suggested"":129,""lines_accepted"":19,""active_users"":4},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":162,""acceptances_count"":25,""lines_suggested"":245,""lines_accepted"":36,""active_users"":3},{""language"":""css"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":1,""lines_suggested"":32,""lines_accepted"":3,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":31,""acceptances_count"":2,""lines_suggested"":34,""lines_accepted"":2,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":91,""acceptances_count"":8,""lines_suggested"":257,""lines_accepted"":10,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":57,""acceptances_count"":1,""lines_suggested"":63,""lines_accepted"":3,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":12,""acceptances_count"":4,""lines_suggested"":15,""lines_accepted"":4,""active_users"":2},{""language"":""markdown"",""editor"":""jetbrains"",""suggestions_count"":10,""acceptances_count"":0,""lines_suggested"":14,""lines_accepted"":0,""active_users"":1},{""language"":""text"",""editor"":""jetbrains"",""suggestions_count"":69,""acceptances_count"":4,""lines_suggested"":80,""lines_accepted"":4,""active_users"":2}]"
2024-04-16,645,151,1000,220,6,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":384,""acceptances_count"":103,""lines_suggested"":601,""lines_accepted"":158,""active_users"":4},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":4,""acceptances_count"":1,""lines_suggested"":7,""lines_accepted"":1,""active_users"":2},{""language"":""shell"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":2,""lines_suggested"":18,""lines_accepted"":6,""active_users"":2},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":114,""acceptances_count"":18,""lines_suggested"":146,""lines_accepted"":18,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":106,""acceptances_count"":24,""lines_suggested"":196,""lines_accepted"":34,""active_users"":3},{""language"":""markdown"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""html"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":3,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":13,""acceptances_count"":1,""lines_suggested"":14,""lines_accepted"":1,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":2,""lines_suggested"":11,""lines_accepted"":2,""active_users"":2}]"
2024-04-17,559,70,887,124,10,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":168,""acceptances_count"":27,""lines_suggested"":233,""lines_accepted"":47,""active_users"":3},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":52,""acceptances_count"":9,""lines_suggested"":75,""lines_accepted"":14,""active_users"":4},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":18,""acceptances_count"":6,""lines_suggested"":58,""lines_accepted"":15,""active_users"":2},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":56,""acceptances_count"":9,""lines_suggested"":79,""lines_accepted"":10,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":1,""lines_suggested"":2,""lines_accepted"":1,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":30,""acceptances_count"":4,""lines_suggested"":38,""lines_accepted"":4,""active_users"":4},{""language"":""json with comments"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":0,""lines_suggested"":11,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":31,""acceptances_count"":6,""lines_suggested"":69,""lines_accepted"":10,""active_users"":2},{""language"":""markdown"",""editor"":""jetbrains"",""suggestions_count"":189,""acceptances_count"":8,""lines_suggested"":320,""lines_accepted"":23,""active_users"":2}]"
2024-04-18,343,82,461,54,7,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":141,""acceptances_count"":45,""lines_suggested"":206,""lines_accepted"":16,""active_users"":3},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":6,""acceptances_count"":2,""lines_suggested"":9,""lines_accepted"":2,""active_users"":3},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":7,""acceptances_count"":1,""lines_suggested"":8,""lines_accepted"":0,""active_users"":2},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":15,""acceptances_count"":4,""lines_suggested"":18,""lines_accepted"":3,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":78,""acceptances_count"":20,""lines_suggested"":109,""lines_accepted"":24,""active_users"":3},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":13,""acceptances_count"":0,""lines_suggested"":13,""lines_accepted"":0,""active_users"":1},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":9,""acceptances_count"":0,""lines_suggested"":9,""lines_accepted"":0,""active_users"":1},{""language"":""talismanrc"",""editor"":""jetbrains"",""suggestions_count"":3,""acceptances_count"":0,""lines_suggested"":4,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":22,""acceptances_count"":4,""lines_suggested"":26,""lines_accepted"":4,""active_users"":3},{""language"":""markdown"",""editor"":""jetbrains"",""suggestions_count"":39,""acceptances_count"":6,""lines_suggested"":48,""lines_accepted"":5,""active_users"":2},{""language"":""dockerfile"",""editor"":""jetbrains"",""suggestions_count"":8,""acceptances_count"":0,""lines_suggested"":9,""lines_accepted"":0,""active_users"":1}]"
2024-04-19,161,52,236,44,4,0,0,0,"[{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":2,""lines_suggested"":12,""lines_accepted"":0,""active_users"":2},{""language"":""unknown"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":0,""lines_suggested"":6,""lines_accepted"":0,""active_users"":1},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":113,""acceptances_count"":40,""lines_suggested"":173,""lines_accepted"":38,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":32,""acceptances_count"":10,""lines_suggested"":45,""lines_accepted"":6,""active_users"":3}]"
2024-04-20,2,1,2,0,2,0,0,0,"[{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":1,""lines_suggested"":2,""lines_accepted"":0,""active_users"":2}]"
2024-04-22,502,177,911,229,10,0,0,0,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":35,""acceptances_count"":17,""lines_suggested"":94,""lines_accepted"":19,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":90,""acceptances_count"":21,""lines_suggested"":152,""lines_accepted"":23,""active_users"":5},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":136,""acceptances_count"":55,""lines_suggested"":176,""lines_accepted"":33,""active_users"":3},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":51,""acceptances_count"":10,""lines_suggested"":69,""lines_accepted"":10,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":138,""acceptances_count"":66,""lines_suggested"":302,""lines_accepted"":133,""active_users"":3},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":0,""lines_suggested"":8,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":24,""acceptances_count"":2,""lines_suggested"":61,""lines_accepted"":1,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":0,""lines_suggested"":1,""lines_accepted"":0,""active_users"":1},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":8,""acceptances_count"":0,""lines_suggested"":10,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":11,""acceptances_count"":6,""lines_suggested"":38,""lines_accepted"":10,""active_users"":3}]"
2024-04-23,554,217,903,221,9,9,30,5,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":8,""acceptances_count"":6,""lines_suggested"":10,""lines_accepted"":2,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":163,""acceptances_count"":64,""lines_suggested"":282,""lines_accepted"":58,""active_users"":6},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":266,""acceptances_count"":115,""lines_suggested"":405,""lines_accepted"":116,""active_users"":3},{""language"":""python"",""editor"":""vscode"",""suggestions_count"":30,""acceptances_count"":6,""lines_suggested"":64,""lines_accepted"":14,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":76,""acceptances_count"":24,""lines_suggested"":103,""lines_accepted"":30,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":2,""acceptances_count"":0,""lines_suggested"":2,""lines_accepted"":0,""active_users"":1},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":5,""acceptances_count"":0,""lines_suggested"":32,""lines_accepted"":0,""active_users"":1},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":4,""acceptances_count"":2,""lines_suggested"":5,""lines_accepted"":1,""active_users"":2}]"
2024-04-24,667,212,1023,186,10,5,30,6,"[{""language"":""javascriptreact"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":6,""lines_suggested"":12,""lines_accepted"":2,""active_users"":2},{""language"":""typescriptreact"",""editor"":""vscode"",""suggestions_count"":162,""acceptances_count"":34,""lines_suggested"":250,""lines_accepted"":29,""active_users"":5},{""language"":""javascript"",""editor"":""vscode"",""suggestions_count"":256,""acceptances_count"":109,""lines_suggested"":389,""lines_accepted"":88,""active_users"":5},{""language"":""ruby"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":1,""lines_suggested"":2,""lines_accepted"":0,""active_users"":2},{""language"":""typescript"",""editor"":""vscode"",""suggestions_count"":110,""acceptances_count"":34,""lines_suggested"":156,""lines_accepted"":44,""active_users"":4},{""language"":""markdown"",""editor"":""vscode"",""suggestions_count"":1,""acceptances_count"":1,""lines_suggested"":1,""lines_accepted"":0,""active_users"":2},{""language"":""json"",""editor"":""vscode"",""suggestions_count"":9,""acceptances_count"":1,""lines_suggested"":9,""lines_accepted"":1,""active_users"":2},{""language"":""scss"",""editor"":""vscode"",""suggestions_count"":32,""acceptances_count"":3,""lines_suggested"":72,""lines_accepted"":1,""active_users"":2},{""language"":""yaml"",""editor"":""vscode"",""suggestions_count"":11,""acceptances_count"":1,""lines_suggested"":14,""lines_accepted"":1,""active_users"":2},{""language"":""properties"",""editor"":""jetbrains"",""suggestions_count"":42,""acceptances_count"":12,""lines_suggested"":49,""lines_accepted"":6,""active_users"":2},{""language"":""kotlin"",""editor"":""jetbrains"",""suggestions_count"":32,""acceptances_count"":10,""lines_suggested"":69,""lines_accepted"":14,""active_users"":2}]"
